"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J6,J15,J5,J14";"CONN_JST_SM03B-NSHSS-TB";4;"SM03B-NSHSS-TBLFSN";;;
2;"R25";"R_0805_2012Metric";1;"20k";;;
3;"J13";"CONN_JST_SM04B-NSHSS-TB";1;"SM04B-NSHSS-TB_LF__SN_";;;
4;"J10";"CONN_JST_SM08B-NSHSS-TB";1;"SM08B-NSHSS-TB LFSN";;;
5;"C1,C2,C20";"CP_Elec_10x10";3;"220 uF 50v";;;
6;"J8,J7";"CONN4_BM04B-SRSS_JST";2;"BM04B-SRSS-TB";;;
7;"C4";"C_0805_2012Metric";1;"10 uF 10v";;;
8;"C17,C16,C3";"C_1210_3225Metric";3;"10 uF 50v";;;
9;"R15,R18,R17,R21,R16,R13,R10,R11,R31,R6,R5,R12,R3,R30";"R_0805_2012Metric";14;"1k";;;
10;"U1";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-78C5.0-1.0";;;
11;"J16,J17";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
12;"J9";"XW4L08A1H1";1;"XW4L-08A1-H1";;;
13;"R19,R28,R20,R23,R14,R29,R33,R22,R32,R4,R1,R2,R9";"R_0805_2012Metric";13;"10k";;;
14;"R26";"R_0805_2012Metric";1;"2.2k";;;
15;"C13,C12";"C_0805_2012Metric";2;"0.01 uF";;;
16;"U4";"TSSOP-16_4.4x5mm_P0.65mm";1;"INA260";;;
17;"U6";"SO8_DIO";1;"DMC4047LSD-13";;;
18;"J12,J1";"solder wire power input";2;"Conn_01x02_Pin";;;
19;"C22,C9";"C_0805_2012Metric";2;"1 uF";;;
20;"J11";"CONN_JST_SM06B-NSHSS-TB";1;"SM06B-NSHSS-TB LFSN";;;
21;"U3";"Sparkfun_SAMD21_Mini";1;"Sparkfun_SamD21_Mini";;;
22;"R27";"R_0805_2012Metric";1;"220 Ohm";;;
23;"CR1";"D_SMC";1;"B550C-13-F";;;
24;"CR2";"SD1206_AVX";1;"SD1206S040S1R0";;;
25;"U7";"MFP4_2P6X4P4_ONS";1;"HMHA2801";;;
26;"Q1";"TO-252-2";1;"IPD85P04P4";;;
27;"D1,D2";"SOT-23";2;"BZX84C10";;;
28;"R7,R8";"R_0805_2012Metric";2;"4.7k";;;
29;"Q2";"SOT-23";1;"BSS138";;;
30;"C19,C15,C21,C14,C18";"C_0805_2012Metric";5;"0.1 uF";;;
31;"Q5,Q3,Q4";"SOT95P285X140-6N";3;"ZXTC2045E6TA";;;
32;"R24";"R_0805_2012Metric";1;"15k";;;
33;"C10";"C_0805_2012Metric";1;"1uF";;;
34;"U8";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"MAX3232EIPWR";;;
35;"U5";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
